Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008054,Sheffield 007B,"1,345",23,14,23,30,25,21,24,18,25,27,25,21,13,16,17,11,14,22,16,15,20,16,18,7,22,31,23,34,35,33,18,20,22,18,17,15,15,24,13,13,16,10,13,23,21,18,19,19,23,18,26,16,15,16,17,13,16,19,15,15,12,7,12,10,7,11,7,8,4,11,6,4,9,7,8,8,3,7,1,3,6,3,3,2,3,6,3,3,5,1,3
E01008055,Sheffield 007C,"1,665",18,32,25,32,33,36,35,34,34,22,27,40,32,30,28,16,17,9,10,10,14,17,16,15,25,33,36,28,29,29,35,23,21,38,17,19,16,19,20,15,17,13,13,16,20,20,24,22,18,20,24,28,25,21,18,16,20,15,20,18,9,9,6,16,9,18,11,12,12,11,10,13,11,9,5,13,3,6,9,8,8,8,14,8,4,6,7,3,4,4,26
E01008057,Sheffield 007D,"1,608",23,35,25,24,32,35,27,26,29,24,32,32,32,22,27,26,19,16,16,12,18,24,24,19,19,32,19,22,26,19,21,29,24,26,20,16,27,25,21,23,13,20,26,19,21,28,23,28,28,26,23,23,18,24,21,13,21,23,9,13,17,15,12,6,12,11,11,6,8,8,10,6,10,10,6,5,9,7,7,4,7,5,5,3,1,3,0,9,3,2,2
E01008126,Sheffield 008A,"1,524",9,16,17,15,16,15,15,13,17,20,12,12,16,15,11,17,14,20,11,11,18,18,9,22,21,12,11,2,12,6,10,13,12,15,7,11,17,9,13,11,9,24,5,20,23,19,24,33,31,26,22,25,22,35,17,20,31,31,24,24,17,21,16,24,18,22,16,21,12,34,31,30,36,29,25,15,21,17,21,14,11,11,11,8,9,7,4,2,2,3,10
E01008128,Sheffield 008C,"1,790",16,15,24,19,18,32,13,17,24,19,15,21,16,15,14,20,12,15,19,12,13,16,15,8,11,27,23,7,22,24,13,22,13,21,16,25,25,23,23,29,25,27,26,21,31,24,25,31,31,31,40,28,36,28,32,21,30,32,28,28,23,24,30,21,20,18,28,21,17,29,32,27,16,24,20,18,12,13,13,17,8,8,9,10,9,2,2,5,4,2,1
E01008136,Sheffield 008D,"1,420",13,12,13,23,15,14,17,17,16,23,23,13,18,20,14,15,17,16,16,15,9,12,12,19,10,18,11,17,13,12,14,15,15,13,14,14,18,24,17,12,17,15,20,20,25,24,33,28,21,21,19,15,18,18,21,19,15,22,24,27,22,13,15,15,17,16,30,19,16,19,22,13,18,10,17,7,16,7,15,7,10,13,4,7,7,9,5,0,1,3,6
E01008140,Sheffield 008E,"1,931",15,18,22,27,28,32,27,27,30,24,29,30,26,24,17,16,13,15,12,13,18,22,13,14,11,29,19,22,16,16,19,16,29,30,26,33,28,19,28,36,24,21,36,46,36,31,28,31,22,25,28,29,28,27,23,27,21,22,29,22,26,19,15,15,21,17,22,18,16,17,25,19,17,15,13,15,14,10,18,18,16,12,16,11,7,11,10,14,6,8,25
E01033275,Sheffield 008F,"1,737",21,19,18,16,14,17,32,19,32,31,31,32,28,22,29,30,24,18,17,16,18,9,7,17,23,39,20,32,30,22,18,27,23,20,15,18,31,32,23,20,17,21,31,34,30,36,43,36,47,24,26,27,28,22,17,34,24,28,21,24,24,15,6,20,20,15,15,20,10,13,16,10,6,15,7,6,5,6,6,4,2,1,0,2,2,5,1,1,3,0,1
E01033280,Sheffield 008G,"1,574",13,12,12,13,21,21,18,17,17,16,25,20,21,25,21,19,22,15,16,15,9,15,11,13,13,17,26,18,20,22,7,17,9,13,19,20,19,21,23,26,25,13,32,17,18,30,32,24,37,33,20,30,33,21,25,31,26,27,28,20,25,27,22,11,18,16,21,14,18,22,15,10,12,12,8,10,11,8,10,10,8,7,9,2,2,6,6,3,5,3,4
E01008085,Sheffield 009A,"1,408",11,22,17,19,17,21,14,23,16,21,23,24,18,14,13,22,19,16,20,15,22,18,19,17,25,16,19,19,32,21,15,14,14,14,14,15,22,14,23,18,14,10,13,16,17,15,27,25,28,25,21,13,15,17,18,29,20,22,17,8,17,14,11,12,11,9,13,20,20,15,18,14,12,13,16,7,8,11,6,6,6,4,3,4,2,2,5,2,3,3,15
