LSOA.code,LSOA.name,Population.all,People_per_Sq_Km,Population.female,Population.male
E01008015,Sheffield 039D,"1,697","2,152",821,876
E01007921,Sheffield 068B,"1,615","2,148",884,731
E01007899,Sheffield 003E,"1,403","2,139",727,676
E01008095,Sheffield 043A,"1,760","2,127",853,907
E01008034,Sheffield 056D,"1,702","2,090",908,794
E01007920,Sheffield 068A,"1,646","1,955",849,797
E01008148,Sheffield 001C,"1,500","1,943",785,715
E01008033,Sheffield 061B,"1,235","1,937",630,605
E01007910,Sheffield 037A,"1,788","1,905",976,812
E01007966,Sheffield 049B,"1,503","1,902",776,727
E01007877,Sheffield 022D,"1,465","1,896",727,738
E01008079,Sheffield 064F,"1,293","1,890",637,656
E01007917,Sheffield 071B,"1,541","1,869",775,766
E01008019,Sheffield 065A,"1,896","1,794",969,927
E01033270,Sheffield 022H,"1,954","1,793",822,"1,132"
E01007856,Sheffield 007A,"1,244","1,724",673,571
E01008126,Sheffield 008A,"1,524","1,720",797,727
E01008078,Sheffield 064E,"1,405","1,625",733,672
E01008143,Sheffield 002B,"1,584","1,595",799,785
E01007889,Sheffield 004B,"2,655","1,592","1,348","1,307"
E01008024,Sheffield 072C,"1,786","1,565",942,844
E01007911,Sheffield 032D,"1,362","1,549",690,672
E01007850,Sheffield 014B,"1,508","1,532",779,729
E01007883,Sheffield 027A,"1,732","1,474",926,806
E01007974,Sheffield 044D,"1,400","1,448",719,681
E01007852,Sheffield 014C,"1,481","1,412",715,766
E01007932,Sheffield 055E,"1,386","1,401",737,649
E01007894,Sheffield 004E,"1,368","1,397",693,675
E01008093,Sheffield 017D,"1,535","1,373",767,768
E01007953,Sheffield 033B,"1,561","1,363",795,766
E01007826,Sheffield 066C,"1,427","1,360",748,679
E01007893,Sheffield 003C,"1,462","1,340",746,716
E01007925,Sheffield 068D,"1,727","1,330",907,820
E01007833,Sheffield 064C,"1,549","1,325",827,722
E01007897,Sheffield 005A,"1,306","1,320",651,655
E01008041,Sheffield 063D,"1,394","1,195",722,672
E01008137,Sheffield 005D,"1,426","1,189",737,689
E01007825,Sheffield 066B,"1,494","1,183",771,723
E01008089,Sheffield 017B,"1,695","1,143",887,808
E01007898,Sheffield 003D,"1,361","1,100",689,672
E01008136,Sheffield 008D,"1,420","1,096",719,701
E01008021,Sheffield 072A,"1,461","1,078",733,728
E01007961,Sheffield 033D,"1,551","1,066",798,753
E01007904,Sheffield 018B,"1,858","1,005",965,893
E01007891,Sheffield 004D,"1,519","1,004",794,725
E01008134,Sheffield 005B,"1,248",989,632,616
E01008149,Sheffield 001D,"1,437",970,734,703
E01007827,Sheffield 064A,"1,484",959,732,752
