LSOA.code,LSOA.name,Population.all,People_per_Sq_Km
E01007922,Sheffield 071D,"1,359","3,449"
E01007924,Sheffield 071E,"1,567","3,265"
E01008021,Sheffield 072A,"1,445","1,066"
E01008023,Sheffield 072B,"2,117","3,326"
E01008024,Sheffield 072C,"1,808","1,585"
E01008025,Sheffield 072D,"1,954",838
E01032585,Sheffield 072E,"1,414","3,940"
E01033261,Sheffield 073A,"2,502","19,335"
E01033262,Sheffield 073B,"3,307","14,120"
E01033263,Sheffield 073C,"1,599","5,815"
E01033264,Sheffield 073D,"2,333","6,001"
E01033276,Sheffield 073E,"4,863","40,866"
E01008114,Sheffield 074A,"3,381","10,924"
E01008115,Sheffield 074B,"1,931","12,916"
E01033265,Sheffield 074C,"1,609","9,242"
E01033266,Sheffield 074D,"2,134","13,438"
E01033267,Sheffield 074E,"1,446","29,390"
E01007878,Sheffield 075A,"1,689","6,694"
E01007879,Sheffield 075B,"1,635","5,121"
E01007881,Sheffield 075C,"1,634","3,015"
E01007882,Sheffield 075D,"1,712","8,145"
E01007885,Sheffield 075E,"1,731","2,568"
E01007886,Sheffield 075F,"1,638","4,432"
E01033268,Sheffield 075G,"3,139","3,444"
E01007838,Sheffield 076A,"1,528","4,358"
E01007839,Sheffield 076B,"1,633","4,567"
E01007841,Sheffield 076C,"1,527","3,381"
E01007842,Sheffield 076D,"1,493","2,315"
E01033278,Sheffield 076E,"2,683","3,326"
E01033279,Sheffield 076F,"2,267","2,216"
