LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008103,Sheffield 048D,"1,518",299,209,224,188,196,166,106,89,35,6
E01007964,Sheffield 049A,"1,528",157,161,176,197,235,218,176,118,78,12
E01007966,Sheffield 049B,"1,553",141,205,205,146,300,262,153,93,37,11
E01007968,Sheffield 049C,"1,465",197,210,171,157,190,176,159,110,76,19
E01007970,Sheffield 049D,"1,629",141,85,206,187,227,218,196,209,138,22
E01008042,Sheffield 050A,"1,635",207,172,318,287,210,174,122,80,57,8
E01008045,Sheffield 050B,"1,423",200,193,185,199,209,176,153,61,37,10
E01008046,Sheffield 050C,"1,707",249,157,334,415,213,150,79,53,46,11
E01008049,Sheffield 050D,"1,619",126,107,324,199,190,191,203,115,105,59
E01008051,Sheffield 050E,"1,685",242,185,316,329,241,169,93,73,27,10
E01008052,Sheffield 050F,"1,967",201,154,395,387,316,231,186,64,27,6
E01007975,Sheffield 051A,"1,647",193,159,206,241,261,180,189,144,65,9
E01007976,Sheffield 051B,"1,477",162,115,196,173,230,225,171,127,58,20
E01007977,Sheffield 051C,"1,521",151,137,193,217,202,203,158,143,93,24
E01007979,Sheffield 051D,"1,623",268,269,304,203,180,144,105,73,65,12
E01008099,Sheffield 051E,"1,643",181,161,316,322,250,153,99,90,50,21
E01008000,Sheffield 052A,"1,478",153,124,176,164,218,179,189,161,93,21
E01008001,Sheffield 052B,"1,582",177,173,170,174,264,198,161,132,108,25
E01008004,Sheffield 052C,"1,615",177,194,159,161,261,181,185,160,103,34
E01008005,Sheffield 052D,"1,538",138,148,166,161,225,233,201,155,93,18
E01008010,Sheffield 052E,"1,425",183,196,203,173,205,158,129,107,62,9
E01007978,Sheffield 053A,"1,604",196,163,273,328,271,193,108,55,15,2
E01007980,Sheffield 053B,"1,534",211,135,212,343,283,171,98,45,24,12
E01007981,Sheffield 053C,"1,512",211,147,210,297,234,179,123,69,37,5
E01007983,Sheffield 053D,"1,490",174,157,236,304,283,167,88,50,28,3
E01007985,Sheffield 053E,"1,555",178,161,168,234,250,185,137,130,88,24
E01007982,Sheffield 054A,"1,905",295,259,296,252,265,201,159,126,47,5
E01008002,Sheffield 054B,"1,551",158,125,121,200,219,241,205,204,68,10
E01008003,Sheffield 054C,"1,371",113,121,167,134,200,213,197,146,75,5
E01008006,Sheffield 054D,"1,404",103,113,152,123,188,204,214,186,106,15
E01007927,Sheffield 055A,"1,718",163,225,65,101,243,254,264,184,168,51
E01007928,Sheffield 055B,"1,766",204,218,108,123,272,280,294,149,96,22
E01007929,Sheffield 055C,"1,659",234,205,131,176,308,225,215,120,41,4
E01007930,Sheffield 055D,"1,409",175,178,86,125,227,221,181,128,75,13
E01007932,Sheffield 055E,"1,382",143,189,82,118,228,210,191,126,71,24
E01007939,Sheffield 055F,"1,543",165,190,86,122,249,254,226,136,94,21
E01008028,Sheffield 056A,"1,563",192,173,184,192,238,237,183,108,47,9
E01008029,Sheffield 056B,"1,480",198,230,181,195,206,148,179,87,44,12
E01008032,Sheffield 056C,"1,369",155,166,159,173,193,171,151,113,77,11
E01008034,Sheffield 056D,"1,744",221,220,228,173,326,275,139,110,46,6
E01007828,Sheffield 059A,"1,777",206,234,204,239,294,252,137,118,74,19
E01007829,Sheffield 059B,"1,536",175,131,231,299,228,178,142,98,45,9
E01007831,Sheffield 059C,"1,442",169,139,176,196,221,219,160,86,55,21
E01007832,Sheffield 059D,"1,565",192,168,193,229,253,213,148,109,45,15
E01007986,Sheffield 059E,"1,381",178,83,255,289,217,151,89,83,34,2
E01008007,Sheffield 060A,"1,701",206,198,198,155,247,220,164,164,122,27
E01008075,Sheffield 060B,"1,477",256,218,275,234,173,118,80,64,51,8
E01008076,Sheffield 060C,"1,356",197,161,213,170,161,133,145,78,82,16
E01008077,Sheffield 060D,"1,515",173,162,207,181,211,188,185,111,76,21
E01008031,Sheffield 061A,"1,386",144,145,162,138,206,223,198,92,64,14
E01008033,Sheffield 061B,"1,264",67,97,120,116,194,246,242,128,50,4
E01008038,Sheffield 061C,"1,562",91,128,131,133,195,232,271,248,117,16
E01008040,Sheffield 061D,"1,715",179,210,221,190,336,263,185,91,36,4
E01007835,Sheffield 062A,"1,474",122,156,113,132,200,192,198,169,160,32
E01007836,Sheffield 062B,"1,615",144,191,180,139,243,214,184,209,103,8
E01007843,Sheffield 062C,"1,622",230,166,175,188,210,193,166,148,104,42
E01007846,Sheffield 062D,"1,466",153,157,175,159,231,190,171,147,70,13
E01008030,Sheffield 063A,"1,449",182,166,171,195,224,182,169,84,54,22
